match_id,date,home,away,home_score,away_score
1, 2025-08-27,아르테,로버트,77,70
2, 2025-08-27,근근,소나,108,74
3, 2025-08-27,아르테,근근,87,64
4, 2025-08-27,숑숑,아르테,87,86
5, 2025-08-27,아르테,소나,103,80
6, 2025-08-27,승지,아르테,86,83
7, 2025-08-27, 승지,근근,92,74
8, 2025-08-27,깡,소나,124,46
9, 2025-08-27,근근,깡,85,80
10,2025-08-27,승지,깡,78,62
11,2025-08-27,디니,소나,91,69
12,2025-08-27,근근,디니,83,64
13,2025-08-27,로버트,미정,87,79
14,2025-08-27,다루,하늘,99,77
15,2025-08-27,숑숑,다루,76,64
16,2025-08-27,하늘,숑숑,82,71
17,2025-08-27,하늘,미정,78,72
18,2025-08-27,미정,숑숑,100,62
19,2025-08-28,쿠몬,승지,86,83
20,2025-08-28,쿠몬,근근,80,70
21,2025-08-28,숑숑,승지,93,89
22,2025-08-28,하늘,승지,70,59
23,2025-08-28,근근,하늘,81,75
24,2025-08-28,로버트,근근,86,70
25,2025-08-28,로버트,디니,89,66
26,2025-08-28,아르테,쿠몬,94,62
27,2025-08-28,로버트,하늘,83,72
28,2025-08-28,잼,쿠몬,91,87
